start_time;duracion;end_time;game_id;teams;yards;qtr;date;time
1739497451.6937;0.0907s;1739497451.7844;2013090500;BAL@DEN;1;2;2013-09-05;14:55
1739497451.6937;0.0907s;1739497451.7844;2013090500;BAL@DEN;1;3;2013-09-05;01:53
1739497451.6937;0.0907s;1739497451.7844;2013090500;BAL@DEN;1;3;2013-09-05;05:09
1739497451.6937;0.0907s;1739497451.7844;2013090500;DEN@BAL;1;4;2013-09-05;08:21
1739497451.6937;0.0907s;1739497451.7844;2013090500;BAL@DEN;1;4;2013-09-05;15:00
1739497451.6937;0.0907s;1739497451.7844;2013090809;PIT@TEN;1;1;2013-09-08;00:24
1739497451.6937;0.0907s;1739497451.7844;2013090804;MIN@DET;1;1;2013-09-08;03:06
1739497451.6937;0.0907s;1739497451.7844;2013090801;CAR@SEA;1;1;2013-09-08;03:36
1739497451.6937;0.0907s;1739497451.7844;2013090807;NYJ@TB;1;1;2013-09-08;03:55
1739497451.6937;0.0907s;1739497451.7844;2013090801;CAR@SEA;1;1;2013-09-08;06:00
1739497451.6937;0.0907s;1739497451.7844;2013090807;NYJ@TB;1;1;2013-09-08;07:43
1739497451.6937;0.0907s;1739497451.7844;2013090801;SEA@CAR;1;1;2013-09-08;08:07
1739497451.6937;0.0907s;1739497451.7844;2013090803;CLE@MIA;1;1;2013-09-08;08:55
1739497451.6937;0.0907s;1739497451.7844;2013090812;DAL@NYG;1;1;2013-09-08;10:23
1739497451.6937;0.0907s;1739497451.7844;2013090806;JAC@KC;1;1;2013-09-08;10:35
1739497451.6937;0.0907s;1739497451.7844;2013090808;NO@ATL;1;1;2013-09-08;11:50
1739497451.6937;0.0907s;1739497451.7844;2013090807;TB@NYJ;1;1;2013-09-08;11:55
1739497451.6937;0.0907s;1739497451.7844;2013090811;SF@GB;1;1;2013-09-08;12:54
1739497451.6937;0.0907s;1739497451.7844;2013090808;ATL@NO;1;1;2013-09-08;13:37
1739497451.6937;0.0907s;1739497451.7844;2013090806;JAC@KC;1;1;2013-09-08;13:41
1739497451.6937;0.0907s;1739497451.7844;2013090805;IND@OAK;1;2;2013-09-08;01:14
1739497451.6937;0.0907s;1739497451.7844;2013090806;JAC@KC;1;2;2013-09-08;03:35
1739497451.6937;0.0907s;1739497451.7844;2013090812;NYG@DAL;1;2;2013-09-08;08:05
1739497451.6937;0.0907s;1739497451.7844;2013090803;MIA@CLE;1;2;2013-09-08;08:48
1739497451.6937;0.0907s;1739497451.7844;2013090809;PIT@TEN;1;2;2013-09-08;09:26
1739497451.6937;0.0907s;1739497451.7844;2013090800;BUF@NE;1;2;2013-09-08;10:05
1739497451.6937;0.0907s;1739497451.7844;2013090806;JAC@KC;1;2;2013-09-08;11:20
1739497451.6937;0.0907s;1739497451.7844;2013090803;CLE@MIA;1;2;2013-09-08;11:28
1739497451.6937;0.0907s;1739497451.7844;2013090805;OAK@IND;1;2;2013-09-08;14:28
1739497451.6937;0.0907s;1739497451.7844;2013090806;JAC@KC;1;3;2013-09-08;03:04
1739497451.6937;0.0907s;1739497451.7844;2013090806;JAC@KC;1;3;2013-09-08;05:58
1739497451.6937;0.0907s;1739497451.7844;2013090811;SF@GB;1;3;2013-09-08;06:49
1739497451.6937;0.0907s;1739497451.7844;2013090811;GB@SF;1;3;2013-09-08;07:53
1739497451.6937;0.0907s;1739497451.7844;2013090804;MIN@DET;1;3;2013-09-08;13:15
1739497451.6937;0.0907s;1739497451.7844;2013090812;DAL@NYG;1;3;2013-09-08;13:27
1739497451.6937;0.0907s;1739497451.7844;2013090808;NO@ATL;1;3;2013-09-08;13:52
1739497451.6937;0.0907s;1739497451.7844;2013090810;STL@ARI;1;4;2013-09-08;03:13
1739497451.6937;0.0907s;1739497451.7844;2013090800;BUF@NE;1;4;2013-09-08;04:40
1739497451.6937;0.0907s;1739497451.7844;2013090809;PIT@TEN;1;4;2013-09-08;05:07
1739497451.6937;0.0907s;1739497451.7844;2013090812;NYG@DAL;1;4;2013-09-08;05:20
1739497451.6937;0.0907s;1739497451.7844;2013090812;DAL@NYG;1;4;2013-09-08;06:03
1739497451.6937;0.0907s;1739497451.7844;2013090804;MIN@DET;1;4;2013-09-08;06:22
1739497451.6937;0.0907s;1739497451.7844;2013090802;CIN@CHI;1;4;2013-09-08;06:48
1739497451.6937;0.0907s;1739497451.7844;2013090808;ATL@NO;1;4;2013-09-08;09:35
